엔티티변경구분코드,주제영역명,Owner,엔티티명,테이블명,엔티티설명,속성변경구분코드,속성명,컬럼명,PK순서,속성설명,기본값,NNULL구분코드,인포타입,DataType,자릿수,소숫점자릿수
C,CB,CMS,로그 접근 기록,CB_ACCESS_LOG,로그 접근 기록,C,액세스 시간,ACCESS_DATETIME,1,액세스 시간,,NN,,DATE,7,
C,CB,CMS,로그 접근 기록,CB_ACCESS_LOG,로그 접근 기록,C,사용자 아이디,USER_ID,2,사용자 아이디,,NN,,VARCHAR2,20,
C,CB,CMS,로그 접근 기록,CB_ACCESS_LOG,로그 접근 기록,C,URL,URL,3,URL,,NN,,VARCHAR2,1024,
C,CB,CMS,로그 접근 기록,CB_ACCESS_LOG,로그 접근 기록,C,액세스 IP,ACCESS_IP,,액세스 IP,,NN,,VARCHAR2,20,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,AGENT 아이디,AGENT_ID,1,AGENT 아이디,,NN,,VARCHAR2,10,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,AGENT 명,AGENT_NAME,,AGENT 명,,NN,,VARCHAR2,50,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,아이피어드레스P,IP_ADDRESS_P,,아이피어드레스P,,NN,,VARCHAR2,30,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,아이피어드레스_S,IP_ADDRESS_S,,아이피어드레스_S,,NNULL,,VARCHAR2,30,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,PG 아이디,PG_ID,,PG 아이디,,NN,,NUMBER,4,0
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,포트,PORT,,포트,,NNULL,,NUMBER,,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,커뮤니티,COMMUNITY,,커뮤니티,,NNULL,,VARCHAR2,50,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,POLL_INTERVAL,POLL_INTERVAL,,POLL_INTERVAL,,NN,,NUMBER,,
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,본부 아이디,BRANCH_ID,,본부 아이디,,NN,,NUMBER,4,0
C,CB,CMS,에이전트 구성정보,CB_AGENT,에이전트 구성정보,C,교환팀 아이디,MTSO_TEAM_ID,,교환팀 아이디,,NN,,NUMBER,4,0
